LAT_DD,LON_DD,WSAREA_km2,lake_AREA_HA,Total Phosphorus Concentration,Monthly Snow Cover,Annual Snow Cover,Monthly Land Surface Temperature,Annual Land Surface Temperature,Monthly Net Primary Productivity,Annual Net Primary Productivity,Monthly Precipitation,Annual Precipitation,Atmopsheric P Deposition,Atmospheric N Deposition,Atmospheric S Deposition,Rock N Weathering,Legacy P Surplus,Wetland Cover,Median Runoff,Clay Content,Sand Content,Organic Matter Content,Agricultural Erodibility,P2O5 Content,Depth,Human Waste
41.7527459,-102.414217,2.706911383,51.21775028,3.173768823,0,1.074069316,1.547183372,1.311434022,0.001706464,0.124243566,1.951968579,1.642513981,0.031468697,0.889883043,0.428461126,0.464464215,0,0.828947835,1.556302501,0.730782276,1.936815231,0.130333768,0,0.037953309,-0.15490196,0
42.7887771,-88.2197921,901.0578605,489.3771604,1.531478917,0,1.348268227,1.456242459,1.132159363,0.414710224,0.307587977,1.932575225,1.867799932,0.037291767,1.153455473,0.928220167,0.390782946,4.60616041,1.031076192,2.44956776,1.297602592,1.514057854,0.805625313,0.045958024,0.04072754,1.278753601,1
39.33209745,-97.37485967,1.3716,10.23476444,2.904174368,0,0.39953293,1.567091211,1.369245086,0.160423625,0.206624048,1.846058621,1.886316786,0.035196397,0.984480511,0.502526657,0.482345693,5.063384623,0,1.839764985,1.535800291,0.932980822,0.371067862,0.060162262,0.06756776,-0.3265841,0
33.7202532,-94.0042947,10687.12312,10488.47613,1.939519253,0,0.009740761,1.497265917,1.34788071,-0.252432112,0.446471827,1.650647049,2.106421796,0.051231268,1.040388475,0.80659803,0.429136896,6.109360333,0.56547832,2.77095966,1.472642204,1.383587618,0.203007064,0.019029613,0.062639725,1,1
38.69849847,-120.0450767,32.14902698,245.7747884,0.819543936,0,1.637921129,1.467943922,1.123239842,0.409746794,0.370291079,1.370328009,1.80035903,0.017537538,0.845994868,0.377148095,0.362187899,0,0.073639898,2.897557654,0.927665691,1.812014671,0.433445388,0,0.07304752,0.87666679,1
42.3830026,-86.0498602,6.445450934,109.0727787,1.041392685,0,1.351345799,1.426652133,1.17664185,0.404725995,0.3116913,2.282584355,1.955181126,0.046504528,1.13771917,1.051991843,0.454996641,5.521383618,1.320421513,2.626340367,1.180945315,1.742085527,0.3643897,0.011342715,0.0634406,0.954242509,1
43.6199955,-85.2822443,84.72400416,88.64697249,1.041392685,0,1.200363555,1.426652133,1.099840998,0.54940879,0.355777222,1.788969255,1.928253567,0.046504528,1.014636361,0.865996038,0.405520137,5.427490385,1.008520853,2.517180956,1.026668351,1.870086344,0.580356417,0.021882683,0.069547873,1.176091259,1
35.0624231,-82.6873799,39.08619022,183.8849003,0.698970004,0,0,1.384323765,1.275411116,0.622515882,0.559249046,2.213982358,2.144607935,0.041410058,1.030340448,0.996798331,0.183264798,1.728413331,0,2.601095814,1.285256295,1.637745092,0.223199244,0.000573743,0.054745306,1.301029996,0
44.19518716,-93.9005398,12.59535782,186.683289,2.204119983,0,0.881435587,1.452739985,1.254551566,0.429268944,0.267264141,1.575534231,1.693924709,0.032893391,1.139884434,0.521208585,0.41828873,4.57543787,1.141564916,2.290980073,1.536684673,1.38147609,0.482873584,0.059176603,0.076160378,0.049218023,1
40.59743375,-93.77118762,4.4667,28.36682323,1.230448921,0,0.034235689,1.493013221,1.295819532,0.461453621,0.342869337,1.975959993,1.896282729,0.034305843,1.081039665,0.609640873,0.472878323,4.049945624,0.159350676,2.383815366,1.561290227,1.263710693,0.298802504,0.009003201,0.076160378,0.550228353,1
